[
  [629.57,680.86],
  [756.50,772.70],
  [781.89,772.70],
  [807.30,772.70],
  [1010.51,899.71],
  [1035.90,874.30],
  [1090.61,921.19],
  [1090.61,971.99],
  [1090.61,997.40],
  [1112.11,1001.31],
  [1239.10,1102.89],
  [1366.09,1001.31],
  [1467.70,975.90],
  [1598.59,997.40],
  [1700.20,1149.80],
  [1700.20,1175.20],
  [1636.70,1226.00],
  [1598.59,1251.41],
  [1543.91,1306.09],
  [1531.19,1229.90],
  [1645.51,1306.09],
  [1649.39,1378.40],
  [1624.00,1429.20],
  [1624.00,1454.61],
  [1598.59,1505.39],
  [1543.91,1509.30],
  [1518.50,1433.11],
  [1370.00,1505.39],
  [1340.70,1509.30],
  [1391.50,1433.11],
  [1416.89,1306.09],
  [1455.00,1280.70],
  [1408.11,1226.00],
  [1370.00,1251.41],
  [1344.61,1251.41],
  [1217.60,1353.01],
  [1166.80,1353.01],
  [1154.10,1276.80],
  [1090.61,1314.90],
  [1065.20,1327.60],
  [1039.80,1353.01],
  [1035.90,1306.09],
  [1023.20,1280.70],
  [883.50,1102.89],
  [858.11,1064.80],
  [811.19,1048.20],
  [705.70,1001.31],
  [633.40,921.19],
  [633.40,997.40],
  [654.90,1026.70],
  [658.81,1048.20],
  [658.81,1073.59],
  [654.90,1102.89],
  [756.50,1153.69],
  [760.39,1175.20],
  [861.99,1302.21],
  [760.39,1276.80],
  [658.81,1353.01],
  [709.61,1530.80],
  [735.00,1581.60],
  [620.70,1683.20],
  [658.81,1734.00],
  [658.81,1784.80],
  [608.01,1797.50],
  [654.90,1890.29],
  [705.70,1915.70],
  [756.50,1915.70],
  [756.50,1890.29],
  [781.89,1890.29],
  [836.60,1886.41],
  [781.89,1839.49],
  [756.50,1788.69],
  [781.89,1763.30],
  [807.30,1763.30],
  [781.89,1712.50],
  [756.50,1661.70],
  [807.30,1661.70],
  [832.70,1585.51],
  [896.19,1420.39],
  [959.71,1344.20],
  [963.59,1403.81],
  [963.59,1454.61],
  [1010.51,1483.91],
  [1035.90,1483.91],
  [1137.50,1534.71],
  [1137.50,1483.91],
  [1213.69,1458.50],
  [1268.40,1505.39],
  [1268.40,1556.19],
  [1315.29,1585.51],
  [1366.09,1585.51],
  [1370.00,1632.40],
  [1344.61,1632.40],
