[
  [0.00,0.00],
  [1224.30,945.60],
  [1325.90,945.60],
  [1325.90,971.00],
  [1224.30,971.00],
  [1224.30,996.40],
  [1325.90,996.40],
  [1325.90,1021.80],
  [1224.30,1021.80],
  [1186.20,1034.50],
  [1084.60,1034.50],
  [1052.80,1034.50],
  [1027.40,1034.50],
  [1224.30,1047.20],
  [1325.90,1047.20],
  [1186.20,1059.90],
  [1084.60,1059.90],
  [1052.80,1059.90],
  [1027.40,1059.90],
  [1224.30,1072.60],
  [1325.90,1072.60],
  [1186.20,1085.30],
  [1084.60,1085.30],
  [1052.80,1085.30],
  [1027.40,1085.30],
  [1224.30,1098.00],
  [1325.90,1098.00],
  [1186.20,1110.70],
  [1084.60,1110.70],
  [1052.80,1110.70],
  [1027.40,1110.70],
  [1224.30,1123.40],
  [1325.90,1123.40],
  [1186.20,1136.10],
  [1084.60,1136.10],
  [1052.80,1136.10],
  [1027.40,1136.10],
  [1224.30,1148.80],
  [1325.90,1148.80],
  [1186.20,1161.50],
  [1084.60,1161.50],
  [1052.80,1161.50],
  [1027.40,1161.50],
  [1224.30,1174.20],
  [1325.90,1174.20],
  [1186.20,1186.90],
  [1084.60,1186.90],
  [1052.80,1186.90],
  [1027.40,1186.90],
  [1224.30,1199.60],
  [1325.90,1199.60],
  [1186.20,1212.30],
  [1084.60,1212.30],
  [1052.80,1212.30],
  [1027.40,1212.30],
  [1224.30,1225.00],
  [1325.90,1225.00],
  [1186.20,1237.70],
  [1084.60,1237.70],
  [1052.80,1237.70],
  [1027.40,1237.70],
  [1224.30,1250.40],
  [1325.90,1250.40],
  [1186.20,1263.10],
  [1084.60,1263.10],
  [1052.80,1263.10],
  [1027.40,1263.10],
  [1224.30,1275.80],
  [1325.90,1275.80],
  [1186.20,1288.50],
  [1084.60,1288.50],
  [1052.80,1288.50],
  [1027.40,1288.50],
  [1027.40,1313.90],
  [1052.80,1313.90],
  [1084.60,1313.90],
  [1186.20,1313.90],
  [1287.80,1339.30],
  [1262.40,1339.30],
  [1186.20,1339.30],
  [1084.60,1339.30],
  [1052.80,1339.30],
  [1027.40,1339.30],
  [1027.40,1364.70],
  [1052.80,1364.70],
  [1084.60,1364.70],
  [1186.20,1364.70],
  [1186.20,1390.10],
  [1084.60,1390.10],
  [1052.80,1390.10],
  [1027.40,1390.10],
  [1224.30,1402.80],
  [1325.90,1402.80],
  [1186.20,1415.50],
  [1084.60,1415.50],
  [1052.80,1415.50],
  [1027.40,1415.50],
  [1224.30,1428.20],
  [1325.90,1428.20],
  [1325.90,1453.60],
  [1224.30,1453.60],
  [1224.30,1479.00],
  [1325.90,1479.00],
  [1186.20,1491.70],
  [1084.60,1491.70],
  [1052.80,1491.70],
  [1027.40,1504.40],
  [1224.30,1504.40],
  [1325.90,1504.40],
  [1052.80,1517.10],
  [1224.30,1529.80],
  [1325.90,1529.80],
  [1325.90,1555.20],
  [1224.30,1555.20],
  [1224.30,1580.60],
  [1325.90,1580.60],
  [1325.90,1606.00],
  [1224.30,1606.00],
  [1224.30,1631.40],
  [1325.90,1631.40],
  [1325.90,1656.80],
  [1224.30,1656.80],
  [1224.30,1682.20],
  [1325.90,1682.20],
  [1325.90,1707.60],
  [1224.30,1707.60],
  [1224.30,1733.00],
  [1325.90,1733.00],
  [1097.30,1948.90],
  [1071.90,1948.90],
  [1224.30,2152.10],
  [1325.90,2152.10],
  [1325.90,2177.50],
  [1224.30,2177.50],
  [1224.30,2202.90],
  [1325.90,2202.90],
  [1325.90,2228.30],
  [1224.30,2228.30],
  [1224.30,2253.70],
  [1325.90,2253.70],
  [1325.90,2279.10],
  [1224.30,2279.10],
  [1224.30,2304.50],
  [1325.90,2304.50],
  [1325.90,2329.90],
  [1224.30,2329.90],
  [1224.30,2355.30],
  [1325.90,2355.30],
  [1325.90,2380.70],
  [1224.30,2380.70],
  [1224.30,2406.10],
  [1325.90,2406.10],
  [1325.90,2431.50],
  [1224.30,2431.50],
  [1224.30,2456.90],
  [1325.90,2456.90],
  [1325.90,2482.30],
  [1224.30,2482.30],
  [1262.40,2545.80],
  [1287.80,2545.80],
  [1325.90,2609.30],
  [1224.30,2609.30],
  [1224.30,2634.70],
  [1325.90,2634.70],
  [1186.20,2647.40],
  [1084.60,2647.40],
  [1052.80,2647.40],
  [1027.40,2660.10],
  [1224.30,2660.10],
  [1325.90,2660.10],
  [1052.80,2672.80],
  [1224.30,2685.50],
  [1325.90,2685.50],
  [1325.90,2710.90],
  [1224.30,2710.90],
  [1224.30,2736.30],
  [1325.90,2736.30],
  [1325.90,2761.70],
  [1224.30,2761.70],
  [1224.30,2787.10],
  [1325.90,2787.10],
  [1325.90,2812.50],
  [1224.30,2812.50],
  [1325.90,2837.90],
  [1224.30,2837.90],
  [1186.20,2837.90],
  [1084.60,2837.90],
  [1224.30,2863.30],
  [1325.90,2863.30],
  [1325.90,2888.70],
  [1224.30,2888.70],
  [1224.30,2914.10],
  [1325.90,2914.10],
  [1325.90,2939.50],
  [1224.30,2939.50],
  [1579.90,3028.40],
  [1605.30,3028.40],
  [1630.70,3028.40],
  [1656.10,3028.40],
  [1681.50,3028.40],
  [1706.90,3028.40],
  [1732.30,3028.40],
  [1757.70,3028.40],
  [1783.10,3028.40],
  [1808.50,3028.40],
  [1833.90,3028.40],
  [1859.30,3028.40],
  [1884.70,3028.40],
  [1910.10,3028.40],
  [1935.50,3028.40],
  [1973.60,3015.70],
  [1999.00,3015.70],
  [2024.40,3015.70],
  [1922.80,2984.00],
  [1821.20,2984.00],
  [1618.00,2971.30],
  [1681.50,2964.90],
  [1783.10,2964.90],
  [1821.20,2958.60],
  [1922.80,2958.60],
  [1643.40,2945.90],
  [1681.50,2939.50],
  [1783.10,2939.50],
  [1973.60,2939.50],
  [1999.00,2939.50],
  [2024.40,2939.50],
  [2075.20,2939.50],
  [2176.80,2939.50],
  [1948.20,2920.50],
  [1872.00,2920.50],
  [1618.00,2920.50],
  [1681.50,2914.10],
  [1783.10,2914.10],
  [1973.60,2914.10],
  [1999.00,2914.10],
  [2024.40,2914.10],
  [2075.20,2914.10],
  [2176.80,2914.10],
  [2176.80,2888.70],
  [2075.20,2888.70],
  [1783.10,2888.70],
  [1681.50,2888.70],
  [1618.00,2869.70],
  [1872.00,2869.70],
  [1948.20,2869.70],
  [2176.80,2863.30],
  [2075.20,2863.30],
  [1783.10,2863.30],
  [1681.50,2863.30],
  [1643.40,2844.30],
  [1681.50,2837.90],
  [1783.10,2837.90],
  [1878.30,2837.90],
  [1903.70,2837.90],
  [1929.10,2837.90],
  [1973.60,2837.90],
  [1999.00,2837.90],
  [2024.40,2837.90],
  [2075.20,2837.90],
  [2176.80,2837.90],
  [1618.00,2818.90],
  [1681.50,2812.50],
  [1783.10,2812.50],
  [2075.20,2812.50],
  [2176.80,2812.50],
  [2176.80,2787.10],
  [2075.20,2787.10],
  [2024.40,2787.10],
  [1999.00,2787.10],
  [1973.60,2787.10],
  [1783.10,2787.10],
  [1681.50,2787.10],
  [1618.00,2768.10],
  [1681.50,2761.70],
  [1783.10,2761.70],
  [2075.20,2761.70],
  [2176.80,2761.70],
  [1643.40,2742.70],
  [1681.50,2736.30],
  [1783.10,2736.30],
  [1878.30,2736.30],
  [1903.70,2736.30],
  [1929.10,2736.30],
  [2075.20,2736.30],
  [2176.80,2736.30],
  [1618.00,2717.30],
  [1681.50,2710.90],
  [1783.10,2710.90],
  [1821.20,2710.90],
  [1922.80,2710.90],
  [1973.60,2710.90],
  [1999.00,2710.90],
  [2024.40,2710.90],
  [2075.20,2710.90],
  [2176.80,2710.90],
  [2176.80,2685.50],
  [2075.20,2685.50],
  [2024.40,2685.50],
  [1999.00,2685.50],
  [1973.60,2685.50],
  [1922.80,2685.50],
  [1821.20,2685.50],
  [1783.10,2685.50],
  [1757.70,2685.50],
  [1732.30,2685.50],
  [1706.90,2685.50],
  [1681.50,2685.50],
  [1656.10,2685.50],
  [1618.00,2666.50],
  [1821.20,2660.10],
  [1922.80,2660.10],
  [2075.20,2660.10],
  [2176.80,2660.10],
  [1643.40,2641.10],
  [1681.50,2634.70],
  [1783.10,2634.70],
  [1821.20,2634.70],
  [1922.80,2634.70],
  [2075.20,2634.70],
  [2176.80,2634.70],
  [1618.00,2615.70],
  [1681.50,2609.30],
  [1783.10,2609.30],
  [1821.20,2609.30],
  [1922.80,2609.30],
  [1973.60,2609.30],
  [1999.00,2609.30],
  [2024.40,2609.30],
  [2075.20,2609.30],
  [2176.80,2609.30],
  [1935.50,2571.20],
  [1910.10,2571.20],
  [1884.70,2571.20],
  [1859.30,2571.20],
  [1833.90,2571.20],
  [1808.50,2571.20],
  [1783.10,2571.20],
  [1757.70,2571.20],
  [1732.30,2571.20],
  [1706.90,2571.20],
  [1681.50,2571.20],
  [1656.10,2571.20],
  [1630.70,2571.20],
  [1605.30,2571.20],
  [1579.90,2571.20],
  [1973.60,2558.50],
  [1999.00,2558.50],
  [2024.40,2558.50],
  [2113.30,2545.80],
  [2138.70,2545.80],
  [1922.80,2526.80],
  [1821.20,2526.80],
  [1618.00,2514.10],
  [1681.50,2507.70],
  [1783.10,2507.70],
  [1821.20,2501.40],
  [1922.80,2501.40],
  [1643.40,2488.70],
  [1681.50,2482.30],
  [1783.10,2482.30],
  [1973.60,2482.30],
  [1999.00,2482.30],
  [2024.40,2482.30],
  [2075.20,2482.30],
  [2176.80,2482.30],
  [1948.20,2463.30],
  [1872.00,2463.30],
  [1618.00,2463.30],
  [1681.50,2456.90],
  [1783.10,2456.90],
  [1973.60,2456.90],
  [1999.00,2456.90],
  [2024.40,2456.90],
  [2075.20,2456.90],
  [2176.80,2456.90],
  [2176.80,2431.50],
  [2075.20,2431.50],
  [1783.10,2431.50],
  [1681.50,2431.50],
  [1618.00,2412.50],
  [1872.00,2412.50],
  [1948.20,2412.50],
  [2176.80,2406.10],
  [2075.20,2406.10],
  [1783.10,2406.10],
  [1681.50,2406.10],
  [1643.40,2387.10],
  [1681.50,2380.70],
  [1783.10,2380.70],
  [1878.30,2380.70],
  [1903.70,2380.70],
  [1929.10,2380.70],
  [1973.60,2380.70],
  [1999.00,2380.70],
  [2024.40,2380.70],
  [2075.20,2380.70],
  [2176.80,2380.70],
  [1618.00,2361.70],
  [1681.50,2355.30],
  [1783.10,2355.30],
  [2075.20,2355.30],
  [2176.80,2355.30],
  [2176.80,2329.90],
  [2075.20,2329.90],
  [2024.40,2329.90],
  [1999.00,2329.90],
  [1973.60,2329.90],
  [1783.10,2329.90],
  [1681.50,2329.90],
  [1618.00,2310.90],
  [1681.50,2304.50],
  [1783.10,2304.50],
  [2075.20,2304.50],
  [2176.80,2304.50],
  [1643.40,2285.50],
  [1681.50,2279.10],
  [1783.10,2279.10],
  [1878.30,2279.10],
  [1903.70,2279.10],
  [1929.10,2279.10],
  [2075.20,2279.10],
  [2176.80,2279.10],
  [1618.00,2260.10],
  [1681.50,2253.70],
  [1783.10,2253.70],
  [1821.20,2253.70],
  [1922.80,2253.70],
  [1973.60,2253.70],
  [1999.00,2253.70],
  [2024.40,2253.70],
  [2075.20,2253.70],
  [2176.80,2253.70],
  [2176.80,2228.30],
  [2075.20,2228.30],
  [2024.40,2228.30],
  [1999.00,2228.30],
  [1973.60,2228.30],
  [1922.80,2228.30],
  [1821.20,2228.30],
  [1783.10,2228.30],
  [1757.70,2228.30],
  [1732.30,2228.30],
  [1706.90,2228.30],
  [1681.50,2228.30],
  [1656.10,2228.30],
  [1618.00,2209.30],
  [1821.20,2202.90],
  [1922.80,2202.90],
  [2075.20,2202.90],
  [2176.80,2202.90],
  [1643.40,2183.90],
  [1681.50,2177.50],
  [1783.10,2177.50],
  [1821.20,2177.50],
  [1922.80,2177.50],
  [2075.20,2177.50],
  [2176.80,2177.50],
  [1618.00,2158.50],
  [1681.50,2152.10],
  [1783.10,2152.10],
  [1821.20,2152.10],
  [1922.80,2152.10],
  [1973.60,2152.10],
  [1999.00,2152.10],
  [2024.40,2152.10],
  [2075.20,2152.10],
  [2176.80,2152.10],
  [2113.30,1948.90],
  [2138.70,1948.90],
  [1935.50,1745.70],
  [1910.10,1745.70],
  [1884.70,1745.70],
  [1859.30,1745.70],
  [1833.90,1745.70],
  [1808.50,1745.70],
  [1783.10,1745.70],
  [1757.70,1745.70],
  [1732.30,1745.70],
  [1706.90,1745.70],
  [1681.50,1745.70],
  [1656.10,1745.70],
  [1630.70,1745.70],
  [1605.30,1745.70],
  [1579.90,1745.70],
  [1973.60,1733.00],
  [1999.00,1733.00],
  [2024.40,1733.00],
  [2075.20,1733.00],
  [2176.80,1733.00],
  [2176.80,1707.60],
  [2075.20,1707.60],
  [1922.80,1701.30],
  [1821.20,1701.30],
  [1618.00,1688.60],
  [1681.50,1682.20],
  [1783.10,1682.20],
  [2075.20,1682.20],
  [2176.80,1682.20],
  [1922.80,1675.90],
  [1821.20,1675.90],
  [1643.40,1663.20],
  [1681.50,1656.80],
  [1783.10,1656.80],
  [1973.60,1656.80],
  [1999.00,1656.80],
  [2024.40,1656.80],
  [2075.20,1656.80],
  [2176.80,1656.80],
  [1948.20,1637.80],
  [1872.00,1637.80],
  [1618.00,1637.80],
  [1681.50,1631.40],
  [1783.10,1631.40],
  [1973.60,1631.40],
  [1999.00,1631.40],
  [2024.40,1631.40],
  [2075.20,1631.40],
  [2176.80,1631.40],
  [2176.80,1606.00],
  [2075.20,1606.00],
  [1783.10,1606.00],
  [1681.50,1606.00],
  [1618.00,1587.00],
  [1872.00,1587.00],
  [1948.20,1587.00],
  [2176.80,1580.60],
  [2075.20,1580.60],
  [1783.10,1580.60],
  [1681.50,1580.60],
  [1643.40,1561.60],
  [1681.50,1555.20],
  [1783.10,1555.20],
  [1872.00,1555.20],
  [1903.70,1555.20],
  [1929.10,1555.20],
  [1973.60,1555.20],
  [1999.00,1555.20],
  [2024.40,1555.20],
  [2075.20,1555.20],
  [2176.80,1555.20],
  [1618.00,1536.20],
  [1681.50,1529.80],
